coursera-1,coursera,google,google cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity,professional certificate,this is your path to a career in cybersecurity. in this certificate program you’ll learn in-demand skills that can have you job-ready in less than 6 months. no degree or experience required.,4.8,5,18k,beginner,3 - 6 months,network security - python programming - linux - cloud computing - algorithms - audit - computer programming - computer security incident management - cryptography - databases - leadership and management - network architecture - risk management - sql,none,paid 
coursera-2,coursera,google,google data analytics,https://www.coursera.org/professional-certificates/google-data-analytics,professional certificate,this is your path to a career in data analytics. in this program you’ll learn in-demand skills that will have you job-ready in less than 6 months. no degree or experience required.,4.8,5,135k,beginner,3 - 6 months,data analysis - r programming - sql - business communication - spreadsheet software - business analysis - data visualization - data management - general statistics - big data - communication - computer programming - data science - data visualization software - databases - exploratory data analysis - extract - transform - load - leadership and management - microsoft excel - problem solving - small data - statistical programming - tableau software,no degree or prior experience required,paid 
coursera-3,coursera,google,google project management:,https://www.coursera.org/professional-certificates/google-project-management,professional certificate,start your path to a career in project management. in this program you’ll learn in-demand skills that will have you job-ready in less than six months. no degree or experience is required.,4.8,5,98k,beginner,3 - 6 months,project management - strategy and operations - leadership and management - communication - business communication - collaboration - agile software development - software engineering - entrepreneurship - scrum (software development) - planning - supply chain and logistics - change management - finance - organizational development - product management - risk management - budget management - influencing - culture - emotional intelligence - people management - problem solving - procurement,no degree or prior experience required,paid 
coursera-4,coursera,ibm,ibm data science,https://www.coursera.org/professional-certificates/ibm-data-science,professional certificate,prepare for a career as a data scientist. develop in-demand skills and hands-on experience to get job-ready in as little as 5 months. no prior experience required.,4.6,5,120k,beginner,3 - 6 months,python programming - data science - machine learning - data analysis - data visualization - algorithms - human learning - statistical programming - decision making - machine learning algorithms - statistical machine learning - statistical visualization - computer programming - data management - data mining - exploratory data analysis - plot (graphics) - applied machine learning - customer analysis - r programming - business analysis - data model - database application - database theory - databases - deep learning - sql - general statistics - probability & statistics - regression - reinforcement learning - big data - cloud computing - ibm cloud - writing,none,paid 
coursera-5,coursera,google,google digital marketing & e-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,professional certificate,this is your path to a career in digital marketing. in this program you’ll learn in-demand skills that can have you job-ready in less than 6 months. no degree or experience required.,4.8,5,22k,beginner,3 - 6 months,digital marketing - marketing - marketing management - media strategy & planning - sales - e-commerce - data analysis - social media - search engine optimization - advertising - communication - persona research - strategy - web design - web development - web development tools - writing - data management - market analysis,no prior experience required to get started.,paid 
coursera-6,coursera,google,google ux design,https://www.coursera.org/professional-certificates/google-ux-design,professional certificate,this is your path to a career in ux design. in this program you’ll learn in-demand skills that will have you job-ready in less than 6 months. no degree or experience required.,4.8,5,74k,beginner,3 - 6 months,user experience - user experience design - user research - audit - collaboration - human computer interaction - planning - product design - product development - social media - web design - web development tools,no degree or prior experience required,paid 
coursera-7,coursera,google,google it support,https://www.coursera.org/professional-certificates/google-it-support,professional certificate,this is your path to a career in it. in this program you’ll learn in-demand skills that will have you job-ready in less than 6 months. no degree or experience required.,4.8,5,182k,beginner,3 - 6 months,computer networking - network architecture - network model - networking hardware - network analysis - computer architecture - critical thinking - problem solving - communication - human computer interaction - network security - linux - system security - cloud computing - computer programming - customer support - cryptography - leadership and management - operating systems,no degree or prior experience required,paid 
coursera-8,coursera,ibm,ibm data analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,professional certificate,prepare for a career as a data analyst. gain the in-demand skills and hands-on experience to get job-ready in as little as 4 months. no prior experience required.,4.6,5,72k,beginner,3 - 6 months,python programming - data visualization - microsoft excel - spreadsheet software - data analysis - statistical visualization - plot (graphics) - statistical programming - databases - sql - data management - exploratory data analysis - machine learning - business analysis - computer programming - database application - database theory - data mining - data science - general statistics - nosql - r programming - cloud computing - data visualization software - ibm cloud - interactive data visualization - machine learning algorithms - probability & statistics - regression,no degree or prior experience required. all you need is basic computer literacy high school math and comfort with numbers.,paid 
coursera-9,coursera,multiple educators,machine learning,https://www.coursera.org/specializations/machine-learning-introduction,specialization,#breakintoai with machine learning specialization. master fundamental ai concepts and develop practical machine learning skills in the beginner-friendly 3-course program by ai visionary andrew ng,4.9,5,18k,beginner,1 - 3 months,machine learning - machine learning algorithms - applied machine learning - algorithms - deep learning - machine learning software - artificial neural networks - human learning - statistical machine learning - python programming - regression - mathematics - tensorflow - critical thinking - network model - training - reinforcement learning,basic coding (for loops functions if/else statements) &amp; high school-level math (arithmetic algebra) other math concepts will be explained,paid 
coursera-10,coursera,ibm,introduction to data science,https://www.coursera.org/specializations/introduction-data-science,specialization,launch your career in data science. gain foundational data science skills to prepare for a career or further advanced learning in data science.,4.6,5,85k,beginner,3 - 6 months,data science - python programming - data analysis - data management - r programming - business analysis - computer programming - data mining - database application - database theory - databases - sql - data model - machine learning - statistical machine learning - big data - cloud computing - deep learning - ibm cloud - regression - writing,none,paid 
coursera-11,coursera,ibm,ibm devops and software engineering,https://www.coursera.org/professional-certificates/devops-and-software-engineering,professional certificate,launch your devops and software engineering career. master devops agile scrum ci/cd and cloud native with hands-on job-ready skills.,4.6,5,44k,beginner,3 - 6 months,devops - software engineering - cloud computing - computer programming - application development - python programming - software architecture - cloud applications - continuous delivery - continuous integration - software engineering tools - agile software development - programming principles - security engineering - software testing - cloud infrastructure - kubernetes - cloud-based integration - microarchitecture - full-stack web development - cloud platforms - communication - ibm cloud - scrum (software development) - software security - cloud storage - docker (software) - linux - technical product management - collaboration - leadership and management - data analysis - mergers & acquisitions,only basic compter and it literacy is required. no prior programming experience or college degree is required.,paid 
coursera-12,coursera,ibm,key technologies for business,https://www.coursera.org/specializations/key-technologies-for-business,specialization,get ahead with key business technologies. gain foundational understanding of key technologies driving modern businesses,4.7,5,82k,beginner,1 - 3 months,algorithms - applied machine learning - artificial neural networks - computer vision - deep learning - human learning - machine learning - machine learning algorithms - machine learning software - cloud computing - data science - computational thinking - big data - data analysis - data mining - cloud applications - cloud infrastructure - cloud platforms - cloud storage - devops - ibm cloud - regression - writing,no special background or skills are needed excpet basic computer literacy.,paid 
coursera-13,coursera,ibm,ibm full stack software developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,professional certificate,prepare for a career as a full stack developer. gain the in-demand skills and hands-on experience to get job-ready in less than 4 months. no prior experience required.,4.6,5,42k,beginner,3 - 6 months,cloud computing - python programming - cloud applications - ibm cloud - application development - computer programming - cloud infrastructure - devops - web development - cloud management - cloud platforms - javascript - software architecture - cloud api - cloud storage - cloud-based integration - full-stack web development - software engineering - continuous delivery - continuous integration - docker (software) - software as a service - microarchitecture - django (web framework) - database application - databases - kubernetes - sql - software engineering tools - data management - nosql - collaboration - computer science - data analysis - leadership and management - mergers & acquisitions - react (web framework),none,paid 
coursera-14,coursera,ibm,data science fundamentals with python and sql,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,specialization,build the foundation for your data science career. develop hands-on experience with jupyter python sql. perform statistical analysis on real data sets.,4.6,5,60k,beginner,3 - 6 months,python programming - data analysis - general statistics - probability & statistics - basic descriptive statistics - statistical analysis - statistical tests - mathematical theory & analysis - statistical programming - computer programming - data visualization - data science - probability distribution - r programming - business analysis - data management - database application - database theory - databases - sql - cloud computing - ibm cloud,just basic computer literacy and willingness to self-learn online. no prior knowledge of computer science or programming languages required.,paid 
